subject_name,correlation,Clip start,Clip end
190521GongChangyang,0.954,-40,10
190521GongChangyang,0.951,-38,10
190521GongChangyang,0.948,-36,10
190521GongChangyang,0.944,-34,10
190521GongChangyang,0.942,-32,10
190521GongChangyang,0.928,-30,10
190521GongChangyang,0.941,-28,10
190521GongChangyang,0.962,-26,10
190521GongChangyang,0.943,-24,10
190521GongChangyang,0.939,-22,10
190521GongChangyang,0.945,-20,10
190521GongChangyang,0.945,-18,10
190521GongChangyang,0.937,-16,10
190521GongChangyang,0.934,-14,10
190521GongChangyang,0.93,-12,10
190521GongChangyang,0.948,-10,10
190521GongChangyang,0.95,-8,10
190521GongChangyang,0.945,-6,10
190521GongChangyang,0.933,-4,10
190521GongChangyang,0.944,-2,10
absolute mean,0.94315,21,10
