subject_name,correlation,clip start,clip end
190521GongChangyang,0.303,-60,0
190521GongChangyang,0.617,-60,2
190521GongChangyang,0.819,-60,4
190521GongChangyang,0.864,-60,6
190521GongChangyang,0.904,-60,8
190521GongChangyang,0.911,-60,10
190521GongChangyang,0.924,-60,12
190521GongChangyang,0.906,-60,14
190521GongChangyang,0.853,-60,16
190521GongChangyang,0.903,-60,18
190521GongChangyang,0.455,-56,0
190521GongChangyang,0.633,-56,2
190521GongChangyang,0.829,-56,4
190521GongChangyang,0.88,-56,6
190521GongChangyang,0.86,-56,8
190521GongChangyang,0.931,-56,10
190521GongChangyang,0.884,-56,12
190521GongChangyang,0.876,-56,14
190521GongChangyang,0.86,-56,16
190521GongChangyang,0.886,-56,18
190521GongChangyang,0.499,-52,0
190521GongChangyang,0.7,-52,2
190521GongChangyang,0.836,-52,4
190521GongChangyang,0.887,-52,6
190521GongChangyang,0.909,-52,8
190521GongChangyang,0.919,-52,10
190521GongChangyang,0.942,-52,12
190521GongChangyang,0.908,-52,14
190521GongChangyang,0.849,-52,16
190521GongChangyang,0.8,-52,18
190521GongChangyang,0.48,-48,0
190521GongChangyang,0.656,-48,2
190521GongChangyang,0.861,-48,4
190521GongChangyang,0.842,-48,6
190521GongChangyang,0.755,-48,8
190521GongChangyang,0.914,-48,10
190521GongChangyang,0.909,-48,12
190521GongChangyang,0.928,-48,14
190521GongChangyang,0.898,-48,16
190521GongChangyang,0.858,-48,18
190521GongChangyang,0.331,-44,0
190521GongChangyang,0.648,-44,2
190521GongChangyang,0.781,-44,4
190521GongChangyang,0.919,-44,6
190521GongChangyang,0.934,-44,8
190521GongChangyang,0.894,-44,10
190521GongChangyang,0.88,-44,12
190521GongChangyang,0.866,-44,14
190521GongChangyang,0.906,-44,16
190521GongChangyang,0.902,-44,18
190521GongChangyang,0.263,-40,0
190521GongChangyang,0.583,-40,2
190521GongChangyang,0.771,-40,4
190521GongChangyang,0.849,-40,6
190521GongChangyang,0.901,-40,8
190521GongChangyang,0.918,-40,10
190521GongChangyang,0.932,-40,12
190521GongChangyang,0.916,-40,14
190521GongChangyang,0.878,-40,16
190521GongChangyang,0.893,-40,18
190521GongChangyang,0.271,-36,0
190521GongChangyang,0.668,-36,2
190521GongChangyang,0.824,-36,4
190521GongChangyang,0.905,-36,6
190521GongChangyang,0.925,-36,8
190521GongChangyang,0.908,-36,10
190521GongChangyang,0.936,-36,12
190521GongChangyang,0.908,-36,14
190521GongChangyang,0.86,-36,16
190521GongChangyang,0.901,-36,18
190521GongChangyang,0.329,-32,0
190521GongChangyang,0.647,-32,2
190521GongChangyang,0.794,-32,4
190521GongChangyang,0.886,-32,6
190521GongChangyang,0.919,-32,8
190521GongChangyang,0.929,-32,10
190521GongChangyang,0.872,-32,12
190521GongChangyang,0.893,-32,14
190521GongChangyang,0.894,-32,16
190521GongChangyang,0.889,-32,18
190521GongChangyang,0.493,-28,0
190521GongChangyang,0.665,-28,2
190521GongChangyang,0.832,-28,4
190521GongChangyang,0.873,-28,6
190521GongChangyang,0.885,-28,8
190521GongChangyang,0.931,-28,10
190521GongChangyang,0.915,-28,12
190521GongChangyang,0.901,-28,14
190521GongChangyang,0.93,-28,16
190521GongChangyang,0.913,-28,18
190521GongChangyang,0.115,-24,0
190521GongChangyang,0.601,-24,2
190521GongChangyang,0.814,-24,4
190521GongChangyang,0.905,-24,6
190521GongChangyang,0.916,-24,8
190521GongChangyang,0.926,-24,10
190521GongChangyang,0.931,-24,12
190521GongChangyang,0.926,-24,14
190521GongChangyang,0.905,-24,16
190521GongChangyang,0.906,-24,18
absolute mean,0.80854,42,9
